id,neo_reference_id,name,absolute_magnitude_h,estimated_diameter_min_km,estimated_diameter_max_km,is_potentially_hazardous_asteroid,close_approach_date,relative_velocity_kmph,astronomical,miss_distance_km,miss_distance_lunar,orbiting_body
54191840,54191840,(2021 RE),23.08,0.0643509521,0.1438931032,False,2024-05-03,48693.6821911788,0.4161605905,62256737.916742235,161.8864697045,Earth
54236446,54236446,(2022 AA5),23.6,0.0506471459,0.1132504611,False,2024-05-03,32533.9122149488,0.0345722977,5171942.096925899,13.4486238053,Earth
54395027,54395027,(2023 UJ),26.31,0.0145396843,0.0325117225,False,2024-05-03,32585.8732537233,0.2903025289,43428639.979053445,112.9276837421,Earth
54433563,54433563,(2024 GA3),23.68,0.0488151892,0.1091540813,False,2024-05-03,22220.02035752,0.2662827333,39835329.71945807,103.5839832537,Earth
54439881,54439881,(2024 FT15),22.959,0.0680385386,0.1521387973,False,2024-05-03,3972.7742592776,0.2327788472,34823219.722175464,90.5509715608,Earth
54439714,54439714,(2024 JS1),25.48,0.0213086029,0.0476474846,False,2024-05-03,25808.4768611443,0.0500810719,7492021.683556853,19.4815369691,Earth
54439888,54439888,(2024 JA2),24.15,0.039314701,0.0879103439,False,2024-05-03,87317.4255525119,0.00858206,1283857.8962122,3.33842134,Earth
54440315,54440315,(2024 JH3),28.78,0.0046618144,0.0104241338,False,2024-05-03,33932.39209794,0.0026820959,401235.833775733,1.0433353051,Earth
54440656,54440656,(2014 EH216),22.84,0.0718712133,0.1607089186,False,2024-05-03,3972.8800371869,0.2327782848,34823135.588333376,90.5507527872,Earth
2467351,2467351,467351 (2003 KO2),20.36,0.2251930467,0.5035469604,True,2024-05-04,97452.9973349446,0.4130908914,61797517.46984132,160.6923567546,Earth
3763947,3763947,(2016 WX),25.5,0.0211132445,0.0472106499,False,2024-05-04,85504.6442067696,0.4475137872,66947109.36075326,174.0828632208,Earth
3785725,3785725,(2017 TQ2),29.37,0.0035526709,0.0079440136,False,2024-05-04,36921.5639207284,0.2672782504,39984256.95716665,103.9712394056,Earth
54016727,54016727,(2020 HF5),26.7,0.0121494041,0.0271668934,False,2024-05-04,35249.6591978986,0.1273271115,19047864.673652504,49.5302463735,Earth
54276990,54276990,(2022 HX3),21.93,0.1092835959,0.2443655492,False,2024-05-04,118637.5067967852,0.4368454082,65351142.58600053,169.9328637898,Earth
54307213,54307213,(2022 SC9),24.6,0.0319561887,0.0714562102,False,2024-05-04,80359.399695487,0.2312516928,34594760.67677434,89.9569084992,Earth
54335221,54335221,(2022 YL),26.49,0.0133830462,0.029925401,False,2024-05-04,17788.7324022825,0.1454960772,21765903.242475566,56.5979740308,Earth
54415070,54415070,(2023 XL4),26.08,0.0161642283,0.0361443134,False,2024-05-04,16181.9729185053,0.3300683054,49377515.4423495,128.3965708006,Earth
54437395,54437395,(2024 HK1),25.46,0.021505769,0.0480883614,False,2024-05-04,31128.3964241779,0.0046070085,689198.658671895,1.7921263065,Earth
54438501,54438501,(2024 HS1),24.04,0.0413575665,0.0924783301,False,2024-05-04,54751.6627558902,0.1146456097,17150739.01597134,44.5971421733,Earth
54439321,54439321,(2024 JE),24.41,0.0348782733,0.0779901901,False,2024-05-04,27914.4569117818,0.0353985696,5295550.613206752,13.7700435744,Earth
54439998,54439998,(2024 JM2),23.78,0.0466181437,0.1042413384,False,2024-05-04,42392.7126863978,0.0177422713,2654205.995442131,6.9017435357,Earth
54440317,54440317,(2024 JM3),25.05,0.0259749653,0.0580817882,False,2024-05-04,43151.2615776654,0.0548878906,8211111.522553022,21.3513894434,Earth
54441090,54441090,(2024 JM8),24.32,0.0363542322,0.0812905344,False,2024-05-04,46216.1115476971,0.1496480499,22387029.514693715,58.2130914111,Earth
3991701,3991701,(2020 DY1),21.85,0.1133848361,0.2535362011,True,2024-05-01,34940.8005620322,0.067967339,10167769.14396793,26.439294871,Earth
54055039,54055039,(2020 TG1),23.8,0.046190746,0.1032856481,False,2024-05-01,28672.6865013815,0.4657952143,69681971.91547354,181.1943383627,Earth
54225005,54225005,(2021 WC3),28.61,0.0050414443,0.0112730122,False,2024-05-01,44420.565130898,0.3410792437,51024728.35873092,132.6798257993,Earth
54264240,54264240,(2022 FD1),31.05,0.0016389095,0.0036647131,False,2024-05-01,45288.1677851089,0.2570107954,38448267.558845796,99.9771994106,Earth
54265620,54265620,(2022 FH1),24.14,0.0394961694,0.0883161196,False,2024-05-01,54682.3365088176,0.4542362812,67952780.14424105,176.6979133868,Earth
54304749,54304749,(2022 SY1),22.46,0.0856160085,0.1914432149,False,2024-05-01,36457.876139288,0.395018938,59093991.73446206,153.662366882,Earth
54349263,54349263,(2023 FK),25.04,0.0260948603,0.0583498816,False,2024-05-01,32196.1373656798,0.1364776247,20416761.95777939,53.0897960083,Earth
54438671,54438671,(2024 HK2),25.71,0.0191670368,0.0428587972,False,2024-05-01,65910.2061377128,0.0194425195,2908559.504633465,7.5631400855,Earth
54439712,54439712,(2024 JO1),27.79,0.0073545309,0.016445231,False,2024-05-01,22485.1430601084,0.0102686498,1536168.137855926,3.9945047722,Earth
54441081,54441081,(2024 JD7),24.76,0.0296862251,0.0663804174,False,2024-05-01,70621.0673637823,0.0207497997,3104125.838046639,8.0716720833,Earth
54527652,54527652,(2025 HQ4),26.058,0.0163288266,0.0365123662,False,2024-05-01,53799.3647373118,0.0409233142,6122040.637660754,15.9191692238,Earth
2053550,2053550,53550 (2000 BF19),19.06,0.4097839804,0.9163048363,True,2024-05-02,36790.9041621917,0.1261144702,18866456.118098475,49.0585289078,Earth
3125003,3125003,(2002 JE9),21.4,0.1394938229,0.3119176705,True,2024-05-02,95053.9970271341,0.454043173,67923891.56884152,176.622794297,Earth
3373684,3373684,(2007 GT3),19.79,0.2927891485,0.6546964391,False,2024-05-02,105963.1325538617,0.3450032096,51611745.29932355,134.2062485344,Earth
3544980,3544980,(2010 PS66),25.15,0.0248058993,0.0554676771,False,2024-05-02,12039.5926615566,0.3276629456,49017678.73968587,127.4608858384,Earth
3662642,3662642,(2014 DE80),19.33,0.3618719966,0.8091703835,False,2024-05-02,81610.6420908857,0.4531164143,67785250.44131754,176.2622851627,Earth
3735539,3735539,(2015 WG9),20.39,0.2221032822,0.4966380371,True,2024-05-02,134946.573271042,0.4261058324,63744524.92161699,165.7551688036,Earth
3824066,3824066,(2018 JP1),20.85,0.1797028549,0.4018277992,False,2024-05-02,34039.2831959621,0.4388892221,65656892.792116925,170.7279073969,Earth
3840789,3840789,(2019 GK1),26.4,0.0139493823,0.0311917671,False,2024-05-02,36648.3218767877,0.1899639022,28418195.146008313,73.8959579558,Earth
3878618,3878618,(2019 TK5),27.46,0.0085616008,0.0191443215,False,2024-05-02,33251.7555354832,0.1246319436,18644673.296520133,48.4818260604,Earth
54087767,54087767,(2020 VA4),27.43,0.0086807046,0.0194106455,False,2024-05-02,10251.7415054757,0.109451706,16373742.08546622,42.576713634,Earth
54142830,54142830,(2021 JD),26.61,0.0126635356,0.0283165265,False,2024-05-02,13864.559031094,0.0722719608,10811731.396403495,28.1137927512,Earth
54216335,54216335,(2021 VK3),30.46,0.0021505769,0.0048088361,False,2024-05-02,35607.7084648394,0.3037746944,45444047.24214093,118.1683561216,Earth
